;loans - list - contracts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;brandName;companyCnpj;productType;productSubType;ipocCode;contractId;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Organização A;60500998000150;EMPRESTIMOS;CREDITO_PESSOAL_SEM_CONSIGNACAO;92792126019929279212650822221989319252576;xcjklompowsa279212650822221989319aadrtjk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organização A;60500998000150;EMPRESTIMOS;CREDITO_PESSOAL_COM_CONSIGNACAO;"60266408090126026640833616786368109676465
";"jjkliopq02664083361678636810967zthjkl987609
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organização A;60876988000145;EMPRESTIMOS;CHEQUE_ESPECIAL;29533208100122953320866597501618419473449;29533208100122953320866597501618419473449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Organização A;60876988000145;EMPRESTIMOS;CONTA_GARANTIDA;37736815020323773681554178847302312895636;asdfghj0203237736815541788ghjkli12895636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Organização A;60876988000145;EMPRESTIMOS;CAPITAL_GIRO_TETO_ROTATIVO;30688095100223068809537093775700678433123;agbvfdrtj1002230688095370jjkloipq0678433123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
