Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json,
GET /contracts/{contractId}/payments,,Método para obter os dados de pagamentos do contrato de adiantamento a depositantes identificado por contractId mantido pelo cliente na instituição transmissora,,,,,,1,1,,,,
data/,,Conjunto de informações referentes aos pagamentos realizados de uma operação de crédito de adiantamento a depositantes,Objeto, ,Obrigatório, ,,1,1,Não há restrição,,Objeto,
data/paidInstalments,paidInstalments,Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada,Número,3,Obrigatório,,,1,1,Não há restrição,,Number,
data/currency,currency,"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil",Texto,3,Obrigatório,\W*{3},moeda (ISO-4217),1,1,Não há restrição,,String,
data/contractOutstandingBalance,contractOutstandingBalance,"Saldo devedor Remanescente, divulgado nos canais eletrônicos, do contrato referente à Modalidade de Crédito informada.
Expresso em valor monetário com até 4 casas decimais.",Número,19,Obrigatório,,,1,1,Não há restrição,,Number,
data/releases/,,Lista dos pagamentos realizados no período,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista,
data/releases/paymentId,paymentId,Identificador de pagamento de responsabilidade de cada Instituição transmissora.,Texto,100,Obrigatório,,,1,1,Não há restrição,,String,
data/releases/instalmentId,instalmentId,Identificador de parcela, de responsabilidade de cada Instituição transmissora. ,Texto,100,Obrigatório,,,1,1,Não há restrição,,String
data/releases/paidDate,paidDate,Data efetiva do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339. p.ex. 2014-03-19,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/releases/paidAmount,paidAmount,Valor do pagamento referente ao  contrato da modalidade de crédito consultada. Expresso em valor monetário com até 4 casas decimais,Número,19,Obrigatório,,,1,1,Não há restrição,,Number,
data/chargesOverParcel/,,Lista das tarifas que foram pagas fora da parcela, só para pagamento avulso,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista
data/chargesOverParcel/feeName,feeName,Denominação da Tarifa avulsa paga fora da parcela,Texto,250,Obrigatório,\w*\W*,,1,1,Não há restrição,,String,
data/chargesOverParcel/feeCode,feeCode,Sigla identificadora da tarifa avulsa fora da parcela,Texto,140,Obrigatório,\w*\W*,,1,1,Não há restrição,,String,
data/chargesOverParcel/feePaidDate,feePaidDate,Data efetiva do pagamento da tarifa  conforme especificação RFC-3339. p.ex. 2014-03-19,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String,
data/chargesOverParcel/feeAmount,feeAmount,Valor do pagamento da tarifa avulsa fora da parcela. Expresso em valor monetário com até 4 casas decimais.,Número,19,Obrigatório,,,1,1,Não há restrição,,Number,
data/taxesOverParcel/,,Lista dos encargos que foram pagos fora da parcela,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista,
data/taxesOverParcel/taxType,taxType,Tipo de encargo pago fora da parcela (Vide Enum) ,Texto,35,Obrigatório,,"JUROS_REMUNERATORIOS_POR_ATRASO
MULTA_ATRASO_PAGAMENTO
JUROS_MORA_ATRASO
IOF_CONTRATACAO
IOF_POR_ATRASO
OUTROS",1,1,Não há restrição,,Enum,
data/taxesOverParcel/taxAdditionalInfo,taxAdditionalInfo,Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pago fora da parcela,Texto,140,Condicional,\w*\W*,,0,1,Preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de Encargo,,String,
data/taxesOverParcel/taxpaidDate,taxpaidDate,Data efetiva  do pagamento do encargo pago fora da parcela, conforme especificação RFC-3339. p.ex. 2014-03-19,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/taxesOverParcel/taxAmount,taxAmount,Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com até 4 casas decimais.,Número,19,Obrigatório,,,1,1,Não há restrição,,Number,
