Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;NA;
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as intuituições da Marca;Lista;;Obrigatório;;;1;N;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelos  Canais de Atendimento Eletrônico (titular). p.ex. 'Empresa da Organização A';Texto;80;Mandatório;\w*\W*;;1;1;NA;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo canal eletrônico - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;NA;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking";Texto;1024;Condicional;\w*\W*;;0;1;Informar se aplicável;
openBankingBrazil/<brand>/companies/electronicChannels/;;Lista de Canais de Atendimento Eletrônico;Lista;;Obrigatóriio;;;1;4;;
openBankingBrazil/<brand>/companies/electronicChannels/Identification/type;type;"Tipo de canal de atendimento:
'Internet banking'
'Mobile banking'
'Chat'
'Outros' . p.ex. 'SIC'";Texto;;Mandatório;;"INTERNET_BANKING MOBILE_BANKING
CHAT
OUTROS
";1;1;"O Tipo de Canal determina o Tipo de Acesso a ele relacionado:
URL para acesso ao internet banking
URL para aquisição do app
URL do chat
";
openBankingBrazil/<brand>/companies/electronicChannels/Identification/additionalInfo;additionalInfo;"Campo de texto livre para descrever quando o tipo de canal de atendimento for
Outros";Texto;300;Condicional;\w*\W*;;0;1;Só será preenchido quando o tipo de canal de atendimento for Outros;
openBankingBrazil/<brand>/companies/electronicChannels/Identification/url;url;Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking';Texto;1024;Obrigatório;\w*\W*;;0;N;NA;
openBankingBrazil/<brand>/companies/electronicChannels/services/;;Traz a relação de serviços disponbilizados pelo Canal de Atendimento;Lista;;;;;1;20;;
openBankingBrazil/<brand>/companies/electronicChannels/services/name;name;Nome dos Serviços efetivamente prestados pelo Canal de Atendimento, discriminados na Seção 4.2 da Resolução nº 35, BCB, 2020: (Vide Enum);Texto;;Obrigatório;;"ABERTURA_CONTAS_DEPOSITOS_OU_PAGAMENTO_PRE_PAGA
SAQUE_MOEDA_EM_ESPECIE
RECEBIMENTOS_PAGAMENTOS_QUALQUER_NATUREZA
TRANSFERENCIAS_ELETRONICAS_VISANDO_MOVIMENTACAO_CONTAS_DEPOSITOS_OU_PAGAMENTO_TITULARIDADE_CLIENTES
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS_CONTAS_PAGAMENTOS
APLICACOES_RESGATES_INVESTIMENTOS
EXECUCAO_ATIVA_PASSIVA_ORDENS_PAGAMENTO_SOLICITACAO_CLIENTES_USUARIOS
DEPOSITOS_MOEDA_ESPECIE_CHEQUE
OPERACOES_CREDITO_BEM_COMO_OUTROS_SERVICOS_PRESTADOS_ACOMPANHAMENTO_OPERACAO
CARTAO_CREDITO
SEGUROS
OPERACOES_ARRENDAMENTO_MERCANTIL
ABERTURA_CONTA_PAGAMENTO_POS_PAGA
COMPRA_VENDA_MOEDA_ESTRANGEIRA_ESPECIE
COMPRA_VENDA_CHEQUE_CHEQUE_VIAGEM_BEM_COMO_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO
COMPRA_VENDA_OURO
OUTROS_PRODUTOS_SERVICOS
CANCELAMENTO
INFORMACOES
RECLAMACOES";1;1;;
openBankingBrazil/<brand>/companies/electronicChannels/services/code;code;"Código dos Serviços efetivamente prestados pelo Canal de Atendimento: ABRE_CONTA_DEPOSITO_OU_PRE_PAGA (Vide Enum)
    ";Texto;;Obrigatório;;"ABRE_CONTA_DEPOSITO_OU_PRE_PAGA
SAQUE_MOEDA_ESPECIE
RECEBE_PAGA_QUALQUER_NATUREZA
TRANSFERENCIAS_ELETRONICAS_MOVIMENTA_CONTAS_DEPOSITOS_OU_PAGTO_TITULARES_CLIENTES
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS_PAGTOS
APLICA_RESGATA_INVESTIMENTOS
EXECUCAO_ATIVA_PASSIVA_ORDENS_PAGTO
DEPOSITO_MOEDA_ESPECIE_CHEQUE
OPERA_CREDITO_OUTROS_SERVICOS_ACOMPANHA_OPERACAO
CARTAO_CREDITO
SEGUROS
OPERA_ARRENDAMENTO_MERCANTIL
ABERTURA_CONTA_PAGAMENTO_POS_PAGA
COMPRA_VENDA_MOEDA_ESTRANGEIRA_ESPECIE
COMPRA_VENDA_CHEQUE_CHEQUE_VIAGEM_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO
COMPRA_VENDA_OURO
OUTROS_PRODUTOS_SERVICOS
CANCELAMENTO
INFORMACOES
RECLAMACOES";1;1;NA;
openBankingBrazil/<brand>/companies/electronicChannels/services/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Serviço disponível, quando for selecionada a opção 'OUTROS_PRODUTOS_SERVICOS';Texto;2000;Condicional;\w*\W*;;0;1;NA;
;;;;;;;;;;;
;;;;;;;;;;;
