;account;;;;;;
Exemplo;accountID;requestDateTime;currency;avaiableAmount;blockedAmount;automaticallyInvestedAmount;
1;782psd-91md9812ens-0d312';2020-07-21T08:30:00Z';BRL';100.000;10.000;10.000;
;;;;;;;
2;782psd-91md9812ens-0d312';2020-06-15T08:30:00Z';BRL';2.690.000;690.000;60.000;
 ; ;;;;;;
3;782psd-91md9812ens-0d312';2020-05-10T08:30:00Z';BRL';100.000;10.000;10.000;
;;;;;;;
4;782psd-91md9812ens-0d312';2020-05-10T08:30:00Z';BRL';2.690.000;690.000;60.000;
;;;;;;;
5;782psd-91md9812ens-0d312';2020-05-10T08:30:00Z';BRL';100.000;10.000;10.000;
;;;;;;;
6;782psd-91md9812ens-0d312';2020-05-10T08:30:00Z';BRL';2.690.000;690.000;60.000;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
