;financings -payments;;;;;;;;;;;;;;;;;
;; ; ; ; ;releases;;;;chargesOverParcel;;;;taxesOverParcel;;;;
;contractId;requestDateTime;"paid
Instalments";currency;"contract
OutstandingBalance";paymentId;InstalmentId;paidDate;paidAmount;feeName;feeCode;feePaidDate;feeAmount;taxType;taxAdditionalInfo;taxPaidDate;taxAmount;
1;xcjklompowsa279212650822221989319aadrtjk;2020-01-05T08:30:00Z;13;BRL;11400.00;Parcela regular;15;2020-01-10';200.00;reavaliação periódica do bem;aval_bem;2020-01-10';200.00';JUROS_MORA_ATRASO; ;2020-01-10';200.00';
;;;;;;Amortização;NA;2020-01-10';80.00;;;;;;;;;
;;;;;;;;;;;;;;;;;;
2;asdfghj0203237736815541788ghjkli12895636;2020-01-05T08:30:00Z';36';BRL;0.00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
3;29533208100122953320866597501618419473449;2020-01-05T08:30:00Z';36';BRL;0.00;Amortização;NA;2020-01-10';200.00;;;;;;;;;
;;;;;;;;;;;;;;;;;;
4;29533208100122953320866597501618419473449;2020-01-05T08:30:00Z';108';BRL;84000.00;parcela;24 de 60;2020-01-10';200.00;;;;;;;;;
;;;;;;;;;;;;;;;;;;
5;agbvfdrtj1002230688095370jjkloipq0678433123;2020-01-05T08:30:00Z';60';BRL;95400.00;;;;;;;;;MULTA_MORA_ATRASO;;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;;
6;asdfghj0203237736815541788ghjkli12895636;2020-01-05T08:30:00Z';12;BRL;15000.00;;;;; ; ;;;IOF_CONTRATACAO; ;2020-01-10';10.00';
;;;;;;;;;;;;;;;;;;
7;"jjkliopq02664083361678636810967zthjkl987609
";2020-01-05T08:30:00Z';10;BRL;25000.00;PARCELA;8 regular;2020-01-10';200.00;;;;;MULTA_ATRASO_PAGAMENTO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;;
8;agbvfdrtj1002230688095370jjkloipq0678433123;2020-01-05T08:30:00Z';3;BRL';21058.00;Parcela;xpto;2020-01-10';200.00;;;;;JUROS_MORA_ATRASO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;;
9;asdfghj8125532706944jkloiu8504713juytr5072;2020-01-05T08:30:00Z';108;BRL';84000.00;Amortização;parcela única ADF;2020-01-10';200.00; ;;;;IOF_CONTRATACAO; ;2020-01-10';200.00';
;;;;;;;;;;;;;;;;;;
10;"jjkliopq02664083361678636810967zthjkl987609
";2020-01-05T08:30:00Z';60;BRL';0.00;;;;; ; ;;;JUROS_REMUNERATORIOS_POR_ATRASO; ;2020-01-10';200.00';
