;;brand;;;;;;;;;;;;;
; ; ;companies;;;;;;;;;;;;
; ; ; ; ;creditCardAccounts;;;;;;;;;;
; ; ; ; ;bill;;;;;;;;;;
; ; ; ; ; ; ; ; ; ;statementCreditCardAccounts;;;;;
; ; ; ; ; ; ; ; ; ;balances;;;fees;;
;Exemplo;name;name;cnpjNumber;requestDateTime;updateDateTime;currency;dueDate;averageDate;type;paymentType;amount;type;additionalInfo;amount
;1; 'Organização A'; 'Empresa A' ;21128159000166';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-03-05';2021-03-03';VALOR_TOTAL_FATURA;DEBITO_CONTA_CORRENTE;1000.00';IOF;NA;0.00'
;; ;;;;;;;;VALOR_PAGAMENTO_MINIMO_FATURA;DEBITO_CONTA_CORRENTE;100.00';CREDITO_ROTATIVO;NA;25.00'
;; ; ; ; ; ; ; ; ;VALOR_PAGAMENTO_FATURA_PARCELAMENTO;DEBITO_CONTA_CORRENTE;1250.00';PARCELAMENTO_FATURA;NA;250.00'
;;;;;;;;;;;;;;;
;2; 'Organização A1'; 'Empresa A1' ;30817625000101';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-03-15';2021-03-17';VALOR_TOTAL_FATURA;PIX';567.43';OUTROS;"
SAQUE UTILIZANDO A FUNÇÃO CRÉDITO";17.00'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;3; 'Organização B'; 'Empresa B' ;22034751000161';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-03-20';2021-03-18';VALOR_PAGAMENTO_MINIMO_FATURA;AVERBACAO_FOLHA;659.00';JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA;NA;6.59'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;; ;;;;;
;4; 'Organização B1'; 'Empresa B1' ;22735911000108';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-03-25';2021-03-24';VALOR_PAGAMENTO_FATURA_PARCELAMENTO;PIX;873.00';MULTA_ATRASO_PAGAMENTO_FATURA;NA;8.73'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;5; 'Organização C'; 'Empresa C' ;79424399000198';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-02-05';2021-02-08';VALOR_TOTAL_FATURA;BOLETO_BANCARIO;1791.00';JUROS_MORA_ATRASO_PAGAMENTO_FATURA;NA;17.91'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;6; 'Organização C1'; 'Empresa C1' ;60030188000142';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-02-15';2021-02-12';VALOR_PAGAMENTO_MINIMO_FATURA;AVERBACAO_FOLHA;1463.00';IOF;NA;14.63'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;; ;;;;;
;7; 'Organização D'; 'Empresa D' ;68005525000153';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-02-20';2021-02-05';VALOR_PAGAMENTO_FATURA_PARCELAMENTO;PIX;297.00';CREDITO_ROTATIVO;NA;2.97'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;8; 'Organização D1'; 'Empresa D1' ;69677545000133';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-02-25';2021-02-28';VALOR_TOTAL_FATURA;BOLETO_BANCARIO;1967.00';PARCELAMENTO_FATURA;NA;19.67'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;;;;;;;
;9; 'Organização E'; 'Empresa E ' ;06437130000172';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-03-30';2021-04-04';VALOR_PAGAMENTO_MINIMO_FATURA;AVERBACAO_FOLHA;976.40';EMPRÉSTIMO;NA;9.76'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;;;;;; ;;; ;;
;10; 'Organização E1'; 'Empresa E1' ;59854754000151';2020-07-21T08:30:00Z';2020-07-21T08:58:00Z';BRL';2021-02-28';2021-02-27';VALOR_PAGAMENTO_FATURA_PARCELAMENTO;PIX;816.54';CREDITO_ROTATIVO;NA;8.16'
;; ; ; ; ; ; ; ; ; ; ; ; ; ; 
