;invoiceFinancings;;;;;;;;;;;;;;;;
;payments;;;;;;;;;;;;;;;;
; ; ; ; ;releases;;;;chargesOverParcel;;;;taxesOverParcel;;;;
;requestDateTime;"paid
Instalments";currency;"contract
OutstandingBalance";paymentId;InstalmentId;paidDate;paidAmount;feeName;feeCode;feePaidDate;feeAmount;taxType;taxAdditionalInfo;taxPaidDate;taxAmount;
1;2020-01-05T08:30:00Z';0;BRL';11400.00';Outros;15;2020-01-10';200.00'; ; ; ; ;JUROS_MORA_ATRASO; ;2020-01-10';200.00';
; ; ; ; ;Amortização;NA;2020-01-10';80.00'; ; ; ; ; ; ; ; ;
;;;;;;;;;;;;;;;;;
2;2020-01-05T08:30:00Z';0;BRL';0.00';NA;NA;NA;NA;NA;NA;NA;NA;NA; ;NA;NA;
;;;;;;;;;;;;;;;;;
3;2020-01-05T08:30:00Z';0;BRL';0.00';Amortização;NA;2020-01-10';200.00';NA;NA;NA;NA;NA; ;NA;NA;
;;;;;;;;;;;;;;;;;
