;bankBorrowing;;;;;;;;;;;
;payments;;;;;;;;;;;
;requestDateTime;paidInstalments;currency;contractOutstandingBalance;releases;;;;;;;
;;;;;paymentType;InstalmentNumber;feeName;feeCode;financeChargeType;financeChargeAdditionalInfo;paymentDate;dueAmount
1;2020-01-05T08:30:00Z';73';BRL';11400.00';PARCELA;15; ; ; ; ;2020-01-10';200.00'
;;;;;;;;;;;;
2;2020-01-05T08:30:00Z';10';BRL';25000.00';PARCELA; 2; ; ; ; ;2020-01-10';200.00'
;;;;;;;;;;;;
3;2020-01-05T08:30:00Z';53';BRL';21058.00';TARIFA; ;TARIFA_MENSAL;TRF ; ; ;2020-01-10';200.00'
;;;;;;;;;;;;
4;2020-01-05T08:30:00Z';108';BRL';84000.00';ENCARGO; ; ; ;IOF_CONTRATACAO; ;2020-01-10';200.00'
;;;;;;;;;;;;
5;2020-01-05T08:30:00Z';60';BRL';95400.00';PAGAMENTO_EXTRAORDINARIO_AMORTIZACAO; ; ; ;OUTROS;MULTA_MORA_ATRASO;2020-01-10';200.00'
;;;;; ;;;;;;; 
; ; ; ; ; ; ; ; ;JUROS_MORA_ATRASO; ; ; 
;;;;;;;;;;;;
6;2020-01-05T08:30:00Z';73';BRL';11400.00';PARCELA;6; ; ;JUROS_REMUNERATORIOS_POR_ATRASO; ;2020-01-10';200.00'
;;;;;;;;;;;;
7;2020-01-05T08:30:00Z';10';BRL';25000.00';PARCELA;8; ; ;MULTA_ATRASO_PAGAMENTO; ;2020-01-10';200.00'
;;;;;;;;;;;;
8;2020-01-05T08:30:00Z';53';BRL';21058.00';TARIFA; ;IMPOSTO_SOBRE_OPERACOES_FINANCEIRAS;IOF;JUROS_MORA_ATRASO; ;2020-01-10';200.00'
;;;;;;;;;;;;
9;2020-01-05T08:30:00Z';108';BRL';84000.00';ENCARGO; ; ; ;IOF_CONTRATACAO; ;2020-01-10';200.00'
;;;;;;;;;;;;
10;2020-01-05T08:30:00Z';60';BRL';95400.00';PAGAMENTO_EXTRAORDINARIO_AMORTIZACAO; ; ; ;JUROS_REMUNERATORIOS_POR_ATRASO; ;2020-01-10';200.00'
