;;creditCardAccount;;;;;;;;;;;
; ;;;;; ;limits;;;;;;
; ;;;;; ; ; ; ; ; ;balances;
;Exemplo;creditcardAccountId;requestDateTime;brandName;companyCnpj;currency;creditLineLimitType;consolidationType;lineName;"lineName
AdditionalInfo";limitType;type;amount
;1;XXZTR3459087;2020-07-21T08:30:00Z'; 'Organização A';21128159000166';BRL';LIMITE_CREDITO_TOTAL;CONSOLIDADO;;;;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;;;;;;;;VALOR_DISPONIVEL;1200.00'
;;;;;;;LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;SAQUE_CREDITO_BRASIL;;COM_LIMITE;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ;;;;;;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;2;ASBCR22987345933;2020-07-21T08:30:00Z'; Organização A1' ;30817625000101';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;CREDITO_A_VISTA;;COM_LIMITE;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;3;TTDF9873459229;2020-07-21T08:30:00Z'; 'Organização B' ;22034751000161';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;4;XBCS22678907;2020-07-21T08:30:00Z'; 'Organização B1';22735911000108';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;;; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;CREDITO_A_VISTA;;COM_LIMITE;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;5;DDFGR5678343;2020-07-21T08:30:00Z'; 'Organização C';79424399000198';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;EMPRESTIMO_CARTAO_CONSIGNADO;;LIMITE_FLEXIVEL;VALOR_TOTAL;1590.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;6;GFRE34598734;2020-07-21T08:30:00Z'; 'Organização C1';60030188000142';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;SAQUE_CREDITO_BRASIL;;COM_LIMITE;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1654.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1200.00'
;;;;;;;;;;;;;
;7;AJKR55945933;2020-07-21T08:30:00Z'; 'Organização D';68005525000153';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;SAQUE_CREDITO_EXTERIOR;;LIMITE_FLEXIVEL;VALOR_TOTAL;3000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;2000.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1000.00
;;;;;;;;;;;;;
;8;DFZZ29564321;2020-07-21T08:30:00Z'; 'Organização D1';69677545000133';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;VALOR_TOTAL;2000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;1000.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;1000.00
;;;;;;;;;;;;;
;9;YUGF56673456;2020-07-21T08:30:00Z'; 'Organização E';06437130000172';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;VALOR_TOTAL;3000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;500.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;2500.00
;;;;;;;;;;;;;
;10;MNOR765342100;2020-07-21T08:30:00Z'; 'Organização E1';59854754000151';BRL';LIMITE_CREDITO_TOTAL;CONSOLIDADO;;;;VALOR_TOTAL;4000.00'
;;;;;;;;;;;;VALOR_UTILIZADO;200.00'
;;;;;; ; ; ; ; ; ;VALOR_DISPONIVEL;2000.00
