; ;data;;;;;;;;;;
; ;; ; ;; ;;payments;;;;
; ;; ; ;; ;;;;financeCharges;;
;Exemplo;creditcardAccountId;currency;dueDate;"transaction
Name";paymentDate;paymentMode;valueType;amount;type;additionalInfo;amount
;1;XXZTR3459087;BRL';2021-03-05';3459087XXZTR;2021-03-03';DEBITO_CONTA_CORRENTE;VALOR_TOTAL_FATURA;1000.00';NA;;0.00'
;;;;;;;;VALOR_PAGAMENTO_TOTAL_FATURA;1000.00';;;
;;;;;;;;;;;;
;2;ASBCR22987345933;BRL';2021-03-15';229873ASBCR;2021-03-17';PIX';VALOR_TOTAL_FATURA;567.43';OUTROS;SAQUE UTILIZANDO A FUNÇÃO CRÉDITO;17.00'
;;; ; ;; ; ;VALOR_PAGAMENTO_MINIMO;96.46'; ; ; 
;;;;;;;;;;;;
;3;TTDF9873459229;BRL';2021-03-20';9873459TTDF;2021-03-18';AVERBACAO_FOLHA;VALOR_TOTAL_FATURA;3876.00';JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA;;6.59'
;;; ; ;; ; ;VALOR_PAGAMENTO_MINIMO_FATURA;659.00';MULTA_ATRASO_PAGAMENTO_FATURA; ;8.73
;;;;;;;; ;;;;
;4;XBCS22678907;BRL';2021-03-25';22678XBCS;2021-03-24';BOLETO_BANCARIO;VALOR_TOTAL_FATURA;873.00';NA;;0.00'
;;; ; ;; ; ;OUTRO_VALOR_FATURA;250.00; ; ; 
