;;loans - warranties;;;;
;;requestDateTime;currency;warranties;;
;contractId; ; ;warrantyType;warrantySubType;warrantyAmount
1;xcjklompowsa279212650822221989319aadrtjk;2020-07-21T08:30:00Z;BRL;CESSAO_DIREITOS_CREDITORIOS;NOTAS_PROMISSORIAS_OUTROS_DIREITOS_CREDITO;200.00
;;;;;; 
;; ; ;HIPOTECA;PRIMEIRO_GRAU_BENS_DIREITOS_INTEGRANTES_PATRIMONIO_AFETACAO;500.00
;;;;;;
2;"jjkliopq02664083361678636810967zthjkl987609
";2020-07-21T08:30:00Z;BRL;GARANTIA_FIDEJUSSORIA;PESSOA_FISICA;1654.00
;;;;;; 
;; ; ;CAUCAO;DUPLICATAS;2000.00
;;;;;;
3;29533208100122953320866597501618419473449;2020-07-21T08:30:00Z;BRL;PENHOR;PRODUTOS_AGROPECUARIOS_COM_WARRANT;1590.00
;;;;;; 
;; ; ;OPERACOES_GARANTIDAS_PELO_GOVERNO;FEDERAL;3000.00
;;;;;;
4;asdfghj0203237736815541788ghjkli12895636;2020-07-21T08:30:00Z;BRL;BENS_ARRENDADOS;VEICULOS_AUTOMOTORES;200000.00
;;;;;; 
;; ; ;OPERACOES_GARANTIDAS_OUTRAS_ENTIDADES;EMD_ENTIDADES_MULTILATERAIS_DESENVOLVIMENTO_ART;500000.00
;;;;;;
5;agbvfdrtj1002230688095370jjkloipq0678433123;2020-07-21T08:30:00Z;BRL;CAUCAO;FATURA_CARTAO_CREDITO;200.00
;;;;;; 
;; ; ;OPERACOES_GARANTIDAS_OUTRAS_ENTIDADES;EMD_ENTIDADES_MULTILATERAIS_DESENVOLVIMENTO_ART;500.00
;;;;;;
6;asdfghj8125532706944jkloiu8504713juytr5072;2020-07-21T08:30:00Z;BRL;BENS_ARRENDADOS;OUTROS_BENS;1654.00
;;;;;; 
;; ; ;GARANTIA_FIDEJUSSORIA;PESSOA_JURIDICA;2000.00
;;;;;;
7;29533208100122953320866597501618419473449;2020-07-21T08:30:00Z;BRL;SEGUROS_ASSEMELHADOS;SEGURO_RURAL;1590.00
;;;;;; 
;; ; ;OUTRAS_GARANTIAS_NAO_FIDEJUSSORIAS ;OUTRAS;3000.00
;;;;;;
8;asdfghj0203237736815541788ghjkli12895636;2020-07-21T08:30:00Z;BRL;OPERACOES_GARANTIDAS_PELO_GOVERNO;ESTADUAL_OU_DISTRITAL;200000.00
;;;;;; 
;; ; ;HIPOTECA;PRIMEIRO_GRAU_IMOVEIS_RESIDENCIAIS;500000.00
;;;;;;
9;"jjkliopq02664083361678636810967zthjkl987609
";2020-07-21T08:30:00Z;BRL;ALIENACAO_FIDUCIARIA;IMOVEIS_RESIDENCIAIS;200.00
;;;;;; 
;; ; ;PENHOR;PRODUTOS_AGROPECUARIOS_SEM_WARRANT;500.00
;;;;;;
10;agbvfdrtj1002230688095370jjkloipq0678433123;2020-07-21T08:30:00Z;BRL;CAUCAO;NOTAS_PROMISSORIAS_OUTROS_DIREITOS_CREDITO;1654.00
;;;;;; 
;; ; ;CESSAO_DIREITOS_CREDITORIOS;APLICACOES_FINANCEIRAS_RENDA_FIXA;2000.00
