;;data;;;;;;;;;;;;;;
; ;;; ;limits;;;;;;;;;;;
;Exemplo;creditcardAccountId;requestDateTime;currency;creditLineLimitType;consolidationType;lineName;"lineName
AdditionalInfo";limitType;limit Amount;avaiableAmount;"used
Amount";;;;
;1;XXZTR3459087;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;CONSOLIDADO;;;;2000.00';1200.00';1654.00';;;;
;;;;;LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;SAQUE_CREDITO_BRASIL;;COM_LIMITE;1000.00';600.00';400.00';;;;
;;;;;;;;;;;;;;;;
;2;ASBCR22987345933;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;CREDITO_A_VISTA;;COM_LIMITE;2500.00';500.00';1654.00';;;;
;;;;;;;;;;;;;;;;
;3;TTDF9873459229;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;1800.00';900.00';400.00';;;;
;;;;;;;;;;;;;;;;
;4;XBCS22678907;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;3000.00';1500.00';1500.00';;;;
;;;;;LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;CREDITO_A_VISTA;;COM_LIMITE;1000.00';600.00';400.00';;;;
;;;;;;;;;;;;;;;;
;5;DDFGR5678343;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;EMPRESTIMO_CARTAO_CONSIGNADO;;LIMITE_FLEXIVEL;2500.00';500.00';1654.00';;;;
;;;;;;;;;;;;;;;;
;6;GFRE34598734;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;INDIVIDUAL;SAQUE_CREDITO_BRASIL;;COM_LIMITE;1000.00';600.00';400.00';;;;
;;;;;;;;;;;;;;;;
;7;AJKR55945933;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_MODALIDADE_OPERACAO;CONSOLIDADO;SAQUE_CREDITO_EXTERIOR;;LIMITE_FLEXIVEL;1800.00';900.00';400.00';;;;
;;;;;;;;;;;;;;;;
;8;DFZZ29564321;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;2000.00';1200.00';1654.00';;;;
;;;;;;;;;;;;;;;;
;9;YUGF56673456;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;INDIVIDUAL;;;;3000.00';1500.00';1500.00';;;;
;;;;;;;;;;;;;;;;
;10;MNOR765342100;2020-07-21T08:30:00Z';BRL';LIMITE_CREDITO_TOTAL;CONSOLIDADO;;;;1000.00';600.00';400.00';;;;
;;;;;;;;;;;;;;;;
