; ;creditCardAccount;;;;;;;;;;
;; identification;;;;;;;;;;
; ;;;;;;;;;;Payment Method;
;Exemplo;creditcardAccountId;requestDateTime;brandName;companyCnpj;name;productType;productAdditionalInfo;creditCardNetwork;"network
AdditionalInfo";"identification
Number";"isMultiple
CreditDebit"
;1;XXZTR3459087;2020-07-21T08:30:00Z'; 'Organização A';21128159000166';Cartão Universitário';CLASSIC_NACIONAL;;VISA;;4453;true
;;;;;;;;;;;;
;2;ASBCR22987345933;2020-07-21T08:30:00Z'; Organização A1' ;30817625000101';Cartão Vantagens';OUTROS;OURO_INTERNACIONAL;VISA;;2236;false
;;;;;;;;;;;;
;3;TTDF9873459229;2020-07-21T08:30:00Z'; 'Organização B' ;22034751000161';Cartão Fit';GOLD;;MASTERCARD ;;9845;true
;;;;;;;;;;;;
;4;XBCS22678907;2020-07-21T08:30:00Z'; 'Organização B1';22735911000108';Cartão Boas Compras';PLATINUM;;AMERICAN_EXPRESS;;1298;false
;;;;;;;;;;;;
;5;DDFGR5678343;2020-07-21T08:30:00Z'; 'Organização C';79424399000198';Cartão Cliente Mais';ELECTRON;;VISA;;3578;false
;;;;;;;;;;;;
;6;GFRE34598734;2020-07-21T08:30:00Z'; 'Organização C1';60030188000142';Cartão Express';BLUEBOX;;HIPERCARD ;;6690;false'
;;;;;;;;;;;;
;7;AJKR55945933;2020-07-21T08:30:00Z'; 'Organização D';68005525000153';Cartão Pepita';PROFISSIONAL_LIBERAL;;MASTERCARD ;;2573;false
;;;;;;;;;;;;
;8;DFZZ29564321;2020-07-21T08:30:00Z'; 'Organização D1';69677545000133';Cartão Champion';CORPORATIVO;;BANDEIRA_PROPRIA;;1145;false
;;;;;;;;;;;;
;9;YUGF56673456;2020-07-21T08:30:00Z'; 'Organização E';06437130000172';Cartão Boas Compras';MAESTRO_MASTERCARD_MAESTRO;;VISA;;3396;false
;;;;;;;;;;;;
;10;MNOR765342100;2020-07-21T08:30:00Z'; 'Organização E1';59854754000151';Cartão Fit';EMPRESARIAL;;ELO ;;4789;false
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
